strain	virus	segment	host	accession	date	location	country	database	authors	url	title	journal	paper_url
H-sapiens-wt_NGA_2018_LASV0131-ONDO-2018_MH887875_2018-01-15	Mammarenavirus lassaense	S	Homo sapiens	MH887875	2018-01-15	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887875	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0153-EDO-2018_MH887876_2018-02-04	Mammarenavirus lassaense	S	Homo sapiens	MH887876	2018-02-04	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887876	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0072-ONDO-2017_MH887877_2017-02-14	Mammarenavirus lassaense	S	Homo sapiens	MH887877	2017-02-14	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887877	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0182-EDO-2018_MH887878_2018-02-13	Mammarenavirus lassaense	S	Homo sapiens	MH887878	2018-02-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887878	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0139-NASARAWA-2018_MH887879_2018-01-18	Mammarenavirus lassaense	S	Homo sapiens	MH887879	2018-01-18	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887879	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0154-TARABA-2018_MH887880_2018-02-04	Mammarenavirus lassaense	S	Homo sapiens	MH887880	2018-02-04	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887880	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0066-EDO-2017_MH887881_2017-01-21	Mammarenavirus lassaense	S	Homo sapiens	MH887881	2017-01-21	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887881	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0183-ONDO-2018_MH887882_2018-02-13	Mammarenavirus lassaense	S	Homo sapiens	MH887882	2018-02-13	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887882	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0080-ONDO-2017_MH887883_2017-05-16	Mammarenavirus lassaense	S	Homo sapiens	MH887883	2017-05-16	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887883	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0098-EDO-2017_MH887884_2017-10-16	Mammarenavirus lassaense	S	Homo sapiens	MH887884	2017-10-16	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887884	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0070-ONDO-2017_MH887885_2017-02-10	Mammarenavirus lassaense	S	Homo sapiens	MH887885	2017-02-10	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887885	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0213-EDO-2018_MH887886_2018-03-16	Mammarenavirus lassaense	S	Homo sapiens	MH887886	2018-03-16	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887886	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0155-EDO-2018_MH887887_2018-02-05	Mammarenavirus lassaense	S	Homo sapiens	MH887887	2018-02-05	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887887	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0068-ONDO-2017_MH887888_2017-01-26	Mammarenavirus lassaense	S	Homo sapiens	MH887888	2017-01-26	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887888	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0193-DELTA-2018_MH887889_2018-02-17	Mammarenavirus lassaense	S	Homo sapiens	MH887889	2018-02-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887889	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0114-ONDO-2018_MH887890_2018-01-05	Mammarenavirus lassaense	S	Homo sapiens	MH887890	2018-01-05	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887890	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0200-UNKNOWN-2018_MH887894_2018-02-21	Mammarenavirus lassaense	S	Homo sapiens	MH887894	2018-02-21	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887894	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0078-ONDO-2017_MH887895_2017-05-07	Mammarenavirus lassaense	S	Homo sapiens	MH887895	2017-05-07	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887895	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0099-EDO-2017_MH887896_2017-10-17	Mammarenavirus lassaense	S	Homo sapiens	MH887896	2017-10-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887896	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
H-sapiens-wt_NGA_2018_LASV0077-EDO-2017_MH887897_2017-04-17	Mammarenavirus lassaense	S	Homo sapiens	MH887897	2017-04-17	Nigeria	Nigeria	BioProject: PRJNA436552	Siddle et al	https://www.ncbi.nlm.nih.gov/nuccore/MH887897	Genomic Analysis of Lassa Virus during an Increase in Cases in	N. Engl. J. Med. (2018) In press	https://pubmed.ncbi.nlm.nih.gov/30332564
Lassa_virus_H-sapiens-wt_NGA_2018_ISTH_0664_MH157028_2018-02-04	Mammarenavirus lassaense	S	Homo sapiens	MH157028	2018-02-04	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH157028	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2018_ISTH_0959_MH157032_2018-02-12	Mammarenavirus lassaense	S	Homo sapiens	MH157032	2018-02-12	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH157032	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2018_ISTH_1177_MH157034_2018-02-18	Mammarenavirus lassaense	S	Homo sapiens	MH157034	2018-02-18	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH157034	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2018_ISTH_0097_MH157035_2018-01-15	Mammarenavirus lassaense	S	Homo sapiens	MH157035	2018-01-15	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH157035	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2018_ISTH_1024_MH157037_2018-02-14	Mammarenavirus lassaense	S	Homo sapiens	MH157037	2018-02-14	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH157037	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2018_ISTH_1079_MH157038_2018-02-15	Mammarenavirus lassaense	S	Homo sapiens	MH157038	2018-02-15	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH157038	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2018_ISTH_1381_MH157041_2018-02-23	Mammarenavirus lassaense	S	Homo sapiens	MH157041	2018-02-23	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH157041	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2018_ISTH_0541_MH157044_2018-01-02	Mammarenavirus lassaense	S	Homo sapiens	MH157044	2018-01-02	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH157044	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2018_ISTH_1375_MH157045_2018-02-23	Mammarenavirus lassaense	S	Homo sapiens	MH157045	2018-02-23	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH157045	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2018_ISTH_1643_MH157050_2018-03-05	Mammarenavirus lassaense	S	Homo sapiens	MH157050	2018-03-05	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH157050	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_H-sapiens-tc_TGO_2016_812939_MF990889_2016-03-12	Mammarenavirus lassaense	S	Homo sapiens	MF990889	2016-03-12	Togo	Togo	MISSING	Whitmer et al	https://www.ncbi.nlm.nih.gov/nuccore/MF990889	New Lineage of Lassa Virus, Togo, 2016	Emerging Infect. Dis. 24 (3), 599-602 (2018)	https://pubmed.ncbi.nlm.nih.gov/29460758
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0917_MH053463_2016-03-13	Mammarenavirus lassaense	S	Homo sapiens	MH053463	2016-03-13	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053463	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1546_MH053468_2016-10-16	Mammarenavirus lassaense	S	Homo sapiens	MH053468	2016-10-16	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053468	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0419_MH053470_2016-01-28	Mammarenavirus lassaense	S	Homo sapiens	MH053470	2016-01-28	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053470	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1604_MH053472_2016-11-05	Mammarenavirus lassaense	S	Homo sapiens	MH053472	2016-11-05	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053472	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0621_MH053474_2016-02-12	Mammarenavirus lassaense	S	Homo sapiens	MH053474	2016-02-12	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053474	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2015_ISTH_0831_MH053475_2015-12-30	Mammarenavirus lassaense	S	Homo sapiens	MH053475	2015-12-30	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053475	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0717_MH053476_2016-02-23	Mammarenavirus lassaense	S	Homo sapiens	MH053476	2016-02-23	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053476	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0187_MH053478_2016-01-17	Mammarenavirus lassaense	S	Homo sapiens	MH053478	2016-01-17	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053478	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2015_ISTH_0789_MH053480_2015-12-15	Mammarenavirus lassaense	S	Homo sapiens	MH053480	2015-12-15	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053480	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1541_MH053482_2016-10-13	Mammarenavirus lassaense	S	Homo sapiens	MH053482	2016-10-13	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053482	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1174_MH053483_2016-04-29	Mammarenavirus lassaense	S	Homo sapiens	MH053483	2016-04-29	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053483	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0702_MH053484_2016-02-23	Mammarenavirus lassaense	S	Homo sapiens	MH053484	2016-02-23	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053484	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0447_MH053485_2016-02-02	Mammarenavirus lassaense	S	Homo sapiens	MH053485	2016-02-02	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053485	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1568_MH053487_2016-10-27	Mammarenavirus lassaense	S	Homo sapiens	MH053487	2016-10-27	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053487	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1250_MH053488_2016-05-18	Mammarenavirus lassaense	S	Homo sapiens	MH053488	2016-05-18	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053488	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0017_MH053491_2016-01-04	Mammarenavirus lassaense	S	Homo sapiens	MH053491	2016-01-04	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053491	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0176_MH053493_2016-01-17	Mammarenavirus lassaense	S	Homo sapiens	MH053493	2016-01-17	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053493	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0009_MH053497_2016-01-02	Mammarenavirus lassaense	S	Homo sapiens	MH053497	2016-01-02	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053497	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2015_ISTH_0736_MH053498_2015-11-27	Mammarenavirus lassaense	S	Homo sapiens	MH053498	2015-11-27	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053498	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1311_MH053501_2016-06-10	Mammarenavirus lassaense	S	Homo sapiens	MH053501	2016-06-10	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053501	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1423_MH053502_2016-08-16	Mammarenavirus lassaense	S	Homo sapiens	MH053502	2016-08-16	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053502	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1496_MH053506_2016-09-21	Mammarenavirus lassaense	S	Homo sapiens	MH053506	2016-09-21	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053506	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2015_ISTH_0687_MH053511_2015-11-10	Mammarenavirus lassaense	S	Homo sapiens	MH053511	2015-11-10	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053511	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2015_ISTH_0547_MH053513_2015-09-14	Mammarenavirus lassaense	S	Homo sapiens	MH053513	2015-09-14	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053513	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0610_MH053514_2016-02-15	Mammarenavirus lassaense	S	Homo sapiens	MH053514	2016-02-15	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053514	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1462_MH053518_2016-09-04	Mammarenavirus lassaense	S	Homo sapiens	MH053518	2016-09-04	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053518	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1026_MH053522_2016-04-04	Mammarenavirus lassaense	S	Homo sapiens	MH053522	2016-04-04	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053522	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0759_MH053526_2016-02-28	Mammarenavirus lassaense	S	Homo sapiens	MH053526	2016-02-28	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053526	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0543_MH053527_2016-02-08	Mammarenavirus lassaense	S	Homo sapiens	MH053527	2016-02-08	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053527	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0703_MH053528_2016-02-24	Mammarenavirus lassaense	S	Homo sapiens	MH053528	2016-02-24	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053528	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1207_MH053531_2016-05-03	Mammarenavirus lassaense	S	Homo sapiens	MH053531	2016-05-03	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053531	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1069_MH053533_2016-04-13	Mammarenavirus lassaense	S	Homo sapiens	MH053533	2016-04-13	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053533	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1610_MH053536_2016-11-07	Mammarenavirus lassaense	S	Homo sapiens	MH053536	2016-11-07	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053536	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1472_MH053537_2016-09-13	Mammarenavirus lassaense	S	Homo sapiens	MH053537	2016-09-13	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053537	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1398_MH053538_2016-07-31	Mammarenavirus lassaense	S	Homo sapiens	MH053538	2016-07-31	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053538	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0753_MH053544_2016-02-28	Mammarenavirus lassaense	S	Homo sapiens	MH053544	2016-02-28	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053544	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0572_MH053545_2016-02-11	Mammarenavirus lassaense	S	Homo sapiens	MH053545	2016-02-11	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053545	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1474_MH053551_2016-09-14	Mammarenavirus lassaense	S	Homo sapiens	MH053551	2016-09-14	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053551	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0777_MH053552_2016-02-28	Mammarenavirus lassaense	S	Homo sapiens	MH053552	2016-02-28	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053552	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2015_ISTH_0681_MH053553_2015-11-06	Mammarenavirus lassaense	S	Homo sapiens	MH053553	2015-11-06	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053553	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_0035_MH053554_2016-01-06	Mammarenavirus lassaense	S	Homo sapiens	MH053554	2016-01-06	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053554	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1306_MH053557_2016-06-08	Mammarenavirus lassaense	S	Homo sapiens	MH053557	2016-06-08	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053557	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2015_ISTH_0682_MH053559_2015-11-06	Mammarenavirus lassaense	S	Homo sapiens	MH053559	2015-11-06	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053559	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
Lassa_virus_H-sapiens-wt_NGA_2016_ISTH_1150_MH053560_2016-04-25	Mammarenavirus lassaense	S	Homo sapiens	MH053560	2016-04-25	Nigeria	Nigeria	BioProject: PRJNA436552	Odia et al	https://www.ncbi.nlm.nih.gov/nuccore/MH053560	Lassa virus outbreak genomics and epidemiology from Nigeria	Unpublished	MISSING
